____________________________________________________________
Running Process at :Sun Feb  9 13:53:32 2020____________________________________________________________
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'pid': 376, 'username': None, 'name': 'smss.exe'}
{'pid': 416, 'username': None, 'name': 'svchost.exe'}
{'pid': 432, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 556, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 568, 'username': None, 'name': 'csrss.exe'}
{'pid': 612, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'svchost.exe'}
{'pid': 688, 'username': None, 'name': 'wininit.exe'}
{'pid': 696, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'AcroRd32.exe'}
{'pid': 732, 'username': None, 'name': 'svchost.exe'}
{'pid': 768, 'username': None, 'name': 'services.exe'}
{'pid': 776, 'username': None, 'name': 'lsass.exe'}
{'pid': 960, 'username': None, 'name': 'svchost.exe'}
{'pid': 1020, 'username': None, 'name': 'svchost.exe'}
{'pid': 1040, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'explorer.exe'}
{'pid': 1044, 'username': None, 'name': 'svchost.exe'}
{'pid': 1052, 'username': None, 'name': 'svchost.exe'}
{'pid': 1064, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 1084, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'BTServer.exe'}
{'pid': 1112, 'username': None, 'name': 'svchost.exe'}
{'pid': 1168, 'username': None, 'name': 'svchost.exe'}
{'pid': 1196, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 1248, 'username': None, 'name': 'svchost.exe'}
{'pid': 1396, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'RtkNGUI64.exe'}
{'pid': 1436, 'username': None, 'name': 'OfficeClickToRun.exe'}
{'pid': 1536, 'username': None, 'name': 'svchost.exe'}
{'pid': 1672, 'username': None, 'name': 'spoolsv.exe'}
{'pid': 1804, 'username': None, 'name': 'svchost.exe'}
{'pid': 2036, 'username': None, 'name': 'armsvc.exe'}
{'pid': 2044, 'username': None, 'name': 'svchost.exe'}
{'pid': 2052, 'username': None, 'name': 'svchost.exe'}
{'pid': 2060, 'username': None, 'name': 'RtkBtManServ.exe'}
{'pid': 2068, 'username': None, 'name': 'svchost.exe'}
{'pid': 2084, 'username': None, 'name': 'svchost.exe'}
{'pid': 2096, 'username': None, 'name': 'svchost.exe'}
{'pid': 2104, 'username': None, 'name': 'inetinfo.exe'}
{'pid': 2124, 'username': None, 'name': 'MsMpEng.exe'}
{'pid': 2156, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 2488, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 2596, 'username': 'DESKTOP-ND746LH\\Jaydeep', 'name': 'chrome.exe'}
{'pid': 2760, 'username': None, 'name': 'wlanext.exe'}
{'pid': 2772, 'username': None, 'name': 'conhost.exe'}
{'pid': 2976, 'username': None, 'name': 'SearchFilterHost.exe'}
